id,name,type,district,district_detail,longitude,latitude,phone_number,url,parking,toilet,nursing_room,locker,infant_stand,wheelchair_infra,braille_road ,img_url
29,오션시티호텔,숙박/휴양,강서구,명지동,128.9029961,35.08091563,051-271-0023,https://mjoceancity.modoo.at,Y,Y,N,N,N,N,N,
33,베스트루이스해밀턴호텔 서부산점,숙박/휴양,강서구,범방동,128.8788042,35.1468498,051-660-6901,http://www.bestlouishamilton.com,Y,Y,N,N,N,N,N,
34,성고개산장,숙박/휴양,강서구,송정동,128.8530819,35.11083486,051-832-0055,http://naver.me/FMANaTQT,Y,Y,N,N,N,N,N,
35,벨라지오모텔,숙박/휴양,강서구,신호동,128.8811579,35.086613,051-831-9197,http://naver.me/5oQnCQ6U,Y,Y,N,N,N,N,N,
36,IW모텔,숙박/휴양,강서구,신호동,128.8802745,35.08660413,051-831-2460,http://naver.me/G7KpvCJu,Y,Y,N,N,N,N,N,
38,2월호텔,숙박/휴양,강서구,신호동,128.8789326,35.0866038,051-972-2828,http://www.hotel2gs.com,Y,Y,N,N,N,N,N,
39,S모텔,숙박/휴양,강서구,신호동,128.878301,35.08661107,051-832-0128,http://s-motel.co.kr,Y,Y,N,N,N,N,N,
40,블랑비즈니스호텔,숙박/휴양,강서구,신호동,128.8813332,35.0869795,051-973-8590,http://naver.me/xpPZuj9I,Y,Y,N,N,N,N,N,
41,까르페호텔,숙박/휴양,강서구,신호동,128.8807388,35.08661741,051-941-4430,http://naver.me/xw6Iyuc1,Y,Y,N,N,N,N,N,
42,호텔에그,숙박/휴양,강서구,신호동,128.8786857,35.0866149,051-831-9798,http://naver.me/5Q4m2LmH,Y,Y,N,N,N,N,N,
43,2월호텔 강서신관,숙박/휴양,강서구,신호동,128.8810578,35.08700356,051-832-2223,http://www.hotel2gsn.com,Y,Y,N,N,N,N,N,
47,V호텔,숙박/휴양,강서구,신호동,128.8807192,35.08639646,051-831-1105,http://naver.me/56I0AIDU,Y,Y,N,N,N,N,N,
49,펀모텔,숙박/휴양,강서구,신호동,128.8801047,35.08638903,,http://naver.me/GmFiTAih,Y,Y,N,N,N,N,N,
53,카리브의일몰,숙박/휴양,강서구,천성동,128.8111763,35.03344314,,https://blog.naver.com/freedomapart,Y,Y,N,N,N,N,N,
54,우진펜션,숙박/휴양,강서구,천성동,128.8123775,35.0315126,,http://www.xn--sk4bt1htzc9vo.kr/,Y,Y,N,N,N,N,N,
57,꿈에그린펜션,숙박/휴양,강서구,천성동,128.8242522,35.0320609,,http://holydream.co.kr/,Y,Y,N,N,N,N,N,
58,가덕도펜션민박,숙박/휴양,강서구,천성동,128.8176455,35.02841583,070-4251-0481,http://xn--o39a22lsjo77b8qv.kr/,Y,Y,N,N,N,N,N,
59,초록펜션,숙박/휴양,강서구,천성동,128.8168296,35.02659721,,http://blog.naver.com/greenps_1,Y,Y,N,N,N,N,N,
60,노을빛펜션,숙박/휴양,강서구,천성동,128.8186208,35.02731297,,http://naver.me/xJNodEsK,Y,Y,N,N,N,N,N,
61,은행나무펜션,숙박/휴양,강서구,천성동,128.8167941,35.02668722,,http://naver.me/x6PtYc48,Y,Y,N,N,N,N,N,
62,가덕도힐링민박펜션,숙박/휴양,강서구,천성동,128.8162801,35.02727428,,http://healingmb.com/,Y,Y,N,N,N,N,N,
66,카카오호텔,숙박/휴양,금정구,구서동,129.0914817,35.24438044,051-581-1223,http://naver.me/5uxiflAn,Y,Y,N,Y,N,Y,N,
70,쇼모텔,숙박/휴양,금정구,구서동,129.0917448,35.24602969,051-515-3020,http://naver.me/GyeGjPK5,Y,Y,N,N,N,N,N,
71,호텔야자,숙박/휴양,금정구,구서동,129.0916896,35.24743924,,http://www.yanolja.com/places/25829,Y,Y,N,Y,N,N,N,
72,브라운도트 호텔 구서역점,숙박/휴양,금정구,구서동,129.0918741,35.24796884,051-516-3338,http://www.wnhotels.com/browndot/guseo,Y,Y,N,Y,N,Y,N,
74,호텔프렌치코드,숙박/휴양,금정구,구서동,129.0922909,35.24489876,051-515-8143,https://frenchcodegs.modoo.at/,Y,Y,N,Y,N,Y,N,
84,이데아호텔,숙박/휴양,금정구,부곡동,129.0912549,35.2250157,051-512-1103,http://ideahotel.kr/,Y,Y,N,Y,N,Y,N,
86,이화모텔,숙박/휴양,금정구,서동,129.1087541,35.21541627,051-524-5311,http://naver.me/5Gyi7hVp,Y,Y,N,Y,N,N,N,
89,부림모텔,숙박/휴양,금정구,서동,129.1075125,35.21442326,,http://naver.me/GjRXzyGg,N,Y,N,Y,N,Y,N,
91,호텔 블랑,숙박/휴양,금정구,서동,129.107687,35.21500571,051-521-3131,http://naver.me/xevoE42H,Y,Y,N,Y,N,Y,N,
97,그랜드모텔,숙박/휴양,금정구,서동,129.1070393,35.21380844,051-523-8645,http://naver.me/GHEGWCPq,Y,Y,N,Y,N,N,N,
99,마모텔,숙박/휴양,금정구,서동,129.1071283,35.21399983,051-524-7878,http://naver.me/G7KToP7D,Y,Y,N,Y,N,Y,N,
103,동평장여관,숙박/휴양,금정구,장전동,129.0817899,35.22502779,051-514-1251,http://naver.me/F362Wavx,N,N,N,N,N,N,N,
116,태광 달방,숙박/휴양,금정구,장전동,129.0863136,35.22217112,051-516-2400,http://naver.me/FPs2z8WK,N,Y,N,N,N,N,N,
121,에스모텔,숙박/휴양,금정구,청룡동,129.0891817,35.2775317,051-508-1172,https://www.smotel.net/,Y,Y,N,N,N,Y,N,
123,모닝블루펜션,숙박/휴양,기장군,기장읍,129.2125121,35.18480567,,http://www.morningblue.co.kr/,Y,Y,N,N,N,N,N,
124,바다애펜션,숙박/휴양,기장군,기장읍,129.2133248,35.18604169,051-723-1811,http://www.badaae.net/,Y,Y,N,N,N,N,N,
125,오시리아펜션,숙박/휴양,기장군,기장읍,129.2177743,35.18812494,051-724-1151,http://www.osiria-pension.kr/,Y,Y,N,N,N,N,N,
126,가온펜션,숙박/휴양,기장군,기장읍,129.2127078,35.1844777,051-722-6600,http://www.gaonpension.com/,Y,Y,N,N,N,N,N,
127,타샤모텔,숙박/휴양,기장군,기장읍,129.2152805,35.23486816,051-724-3100,http://naver.me/IG6gFTBV,Y,Y,N,N,N,N,N,
128,골든베이펜션,숙박/휴양,기장군,기장읍,129.2270667,35.22131533,051-722-2260,http://pensiongb.com/,Y,Y,N,N,N,N,N,
130,본레브연화리330풀빌라앤호텔,숙박/휴양,기장군,기장읍,129.2229761,35.21559526,,http://yeonhwari330.com/,Y,Y,N,Y,N,Y,N,
132,연화리관광호텔,숙박/휴양,기장군,기장읍,129.2229761,35.21559526,,http://naver.me/54VqKmIQ,Y,Y,N,N,N,N,N,
133,호텔오즈,숙박/휴양,기장군,기장읍,129.2271744,35.22075941,,http://naver.me/GSirCEwq,Y,Y,N,N,N,N,N,
135,연화리330 POOL VILLA Bon reve,숙박/휴양,기장군,기장읍,129.2229938,35.21558798,,http://naver.me/GOuoXBk9,Y,Y,N,N,N,N,N,
136,로드엠게스트하우스펜션,숙박/휴양,기장군,기장읍,129.2310754,35.22374937,,http://naver.me/xE1uUdUc,Y,Y,N,N,N,N,N,
137,연화펜션,숙박/휴양,기장군,기장읍,129.2218632,35.21366559,,http://yhrpen.com/,Y,Y,N,N,N,N,N,
144,아난티코브,숙박/휴양,기장군,기장읍,129.22865,35.19973708,051-604-7000,http://www.theananti.com/kr/cove,Y,Y,N,Y,Y,Y,N,
147,사랑애펜션,숙박/휴양,기장군,기장읍,129.2416983,35.23775114,,http://사랑애펜션.com,Y,Y,N,N,N,N,N,
151,아라하우스펜션,숙박/휴양,기장군,기장읍,129.2095241,35.18397327,,http://www.bsarapen.com/,Y,Y,N,N,N,N,N,
152,더베이펜션,숙박/휴양,기장군,기장읍,129.2101493,35.18436889,,http://thebaypension.com/,Y,Y,N,N,N,N,N,
153,솔레이펜션,숙박/휴양,기장군,기장읍,129.2096279,35.18372558,051-721-1158,http://soleilpension.com/,Y,Y,N,N,N,N,N,
154,브라이트펜션,숙박/휴양,기장군,기장읍,129.2102984,35.1846836,,http://www.brightpension.co.kr/,Y,Y,N,N,N,N,N,
158,해오름펜션,숙박/휴양,기장군,기장읍,129.2112324,35.18782476,051-724-9066,http://xn--ok0bw8s97j8ob928a.kr/,Y,Y,N,N,N,N,N,
160,바우하우스펜션,숙박/휴양,기장군,기장읍,129.2098608,35.18480392,,http://www.bauhausinpusan.com/,Y,Y,N,Y,Y,Y,N,
164,GB코티지,숙박/휴양,기장군,기장읍,129.2093375,35.1855167,,http://blog.naver.com/goldenbay288,Y,Y,N,N,N,N,N,
167,송정 메이플하우스,숙박/휴양,기장군,기장읍,129.2095472,35.18544856,,http://naver.me/FArauugh,Y,Y,N,N,N,N,N,
170,더원모텔,숙박/휴양,기장군,기장읍,129.2270725,35.22715554,051-724-4301,http://www.theonemotel.co.kr/,Y,Y,N,N,N,N,N,
172,더캐슬해운대비치,숙박/휴양,기장군,기장읍,129.2213595,35.22680247,051-726-0707,http://www.haeundaebeachcc.com/,Y,Y,N,N,Y,Y,N,
174,시랑리129펜션,숙박/휴양,기장군,기장읍,129.2249174,35.19664328,070-7794-7487,http://sirangri129.com/,Y,Y,N,N,N,N,N,
175,돌담집그곳,숙박/휴양,기장군,기장읍,129.2231,35.19594168,,http://blog.naver.com/sos08255,Y,Y,N,N,N,N,N,
178,TOC모텔,숙박/휴양,기장군,기장읍,129.2082617,35.25135363,051-723-6638,http://naver.me/5SWMgWTl,Y,Y,N,N,N,N,N,
179,모텔헤이데이,숙박/휴양,기장군,기장읍,129.2097105,35.24929092,051-722-0002,http://naver.me/GSiyAeXN,Y,Y,N,N,N,N,N,
180,베스트루이스해밀턴호텔 기장점,숙박/휴양,기장군,기장읍,129.2096433,35.24951122,051-721-2203,http://bestlouishamilton.com/,Y,Y,N,Y,N,Y,N,
181,모텔헤이데이,숙박/휴양,기장군,기장읍,129.2097099,35.24928498,051-722-0002,http://naver.me/GSiyAeXN,Y,Y,N,Y,N,N,N,
182,베스트루이스해밀턴호텔,숙박/휴양,기장군,기장읍,129.2095269,35.24946788,051-721-2203,http://bestlouishamilton.com/,Y,Y,N,Y,N,Y,N,
183,서랑펜션,숙박/휴양,기장군,기장읍,129.2059,35.20102999,051-722-8870,http://www.srangpension.com/,Y,Y,N,N,N,N,N,
184,펜션드리머,숙박/휴양,기장군,기장읍,129.2253055,35.21697178,,http://www.xn--hy1b84g9li9u8ty.com/,Y,Y,N,N,N,N,N,
186,기장브라운도트펜션,숙박/휴양,기장군,기장읍,129.2254973,35.21792679,,http://vbeach.co.kr,Y,Y,N,N,N,N,N,
187,IW모텔,숙박/휴양,기장군,기장읍,129.2273042,35.22049782,051-724-6788,http://naver.me/5U1tmmYR,Y,Y,N,N,N,N,N,
188,브라운도트호텔,숙박/휴양,기장군,기장읍,129.22571,35.21789346,051-723-2146,https://browndotgijangyeonhwari.southkrhotel.com/,Y,Y,N,Y,N,N,N,
193,테마,숙박/휴양,기장군,기장읍,129.2151228,35.24201229,,http://naver.me/GLKzTF5r,Y,Y,N,Y,N,N,N,
194,루이스호텔,숙박/휴양,기장군,기장읍,129.2157481,35.24167138,051-714-5307,http://naver.me/GhEOT7vX,Y,Y,N,Y,N,N,N,
195,기장루이스호텔,숙박/휴양,기장군,기장읍,129.215798,35.24173549,051-714-5307,http://naver.me/GhEOT7vX,Y,Y,N,N,N,N,N,
200,이데아호텔,숙박/휴양,기장군,기장읍,129.2143276,35.25362273,051-724-2265,https://leidea.modoo.at/,Y,Y,N,N,N,N,N,
208,지오클럽캠핑장,문화관광/명소,기장군,일광면,129.2357055,35.25771827,,http://www.xn--dm2bv2xgxcfqj.com/,N,N,N,N,N,N,N,
210,일광추억이머무르는곳,숙박/휴양,기장군,일광면,129.232687,35.26257492,,http://naver.me/x8lU0ZHf,N,Y,N,N,N,N,N,
212,일출민박,숙박/휴양,기장군,일광면,129.2332452,35.25957291,,http://naver.me/5Z0b07Je,N,Y,N,N,N,N,N,
215,일광온정바다,숙박/휴양,기장군,일광면,129.2583936,35.28284033,,http://naver.me/GHEDmhLk,Y,Y,N,N,N,N,N,
216,메모리펜션,숙박/휴양,기장군,일광면,129.2592046,35.28278644,051-727-7001,http://naver.me/xVlT8FAA,N,Y,N,N,N,N,N,
217,비치하임펜션,숙박/휴양,기장군,일광면,129.2589104,35.30734392,,http://beachpension.co.kr/,Y,Y,N,N,N,N,N,
218,몽블랑모텔,숙박/휴양,기장군,일광면,129.2336108,35.26447598,051-721-9600,http://naver.me/IG6ZeMyB,Y,Y,N,N,N,N,N,
224,삼성장펜션,숙박/휴양,기장군,일광면,129.2335718,35.26328944,051-721-4508,http://www.samsungjang-pension.com/,Y,Y,N,N,N,N,N,
226,일광하우스,숙박/휴양,기장군,일광면,129.2385515,35.26493239,,https://blog.naver.com/ilgwanghouse,N,Y,N,N,N,N,N,
231,일광메모리펜션,숙박/휴양,기장군,일광면,129.2590806,35.28283169,,http://naver.me/xVlT8FAA,N,Y,N,N,N,N,N,
232,드메르펜션,숙박/휴양,기장군,일광면,129.2598971,35.2923648,051-727-6588,http://www.demer.kr/default/,Y,Y,N,N,N,N,N,
235,발리모텔,숙박/휴양,기장군,일광면,129.2315489,35.26206704,051-722-8046,http://naver.me/xTeVZA5F,Y,Y,N,N,N,N,N,
236,아셀펜션,숙박/휴양,기장군,일광면,129.2327962,35.26179764,,https://blog.naver.com/NBlogTop.naver?isHttpsRedirect=true&blogId=asher6925,N,Y,N,N,N,N,N,
240,하루펜션,숙박/휴양,기장군,일광면,129.2433438,35.25859718,,http://hakriharu.com/,Y,Y,N,N,N,N,N,
241,고운학리펜션,숙박/휴양,기장군,일광면,129.2431815,35.25835087,,http://lovelyhakri.com/,Y,Y,N,N,N,N,N,
244,엔젤앤가든,숙박/휴양,기장군,장안읍,129.270191,35.32483556,,http://www.angcompany.co.kr/,Y,Y,N,N,N,N,N,
245,길천여인숙,숙박/휴양,기장군,장안읍,129.283682,35.32687594,051-727-2078,http://naver.me/xM2YjRxj,N,Y,N,N,N,N,N,
246,산수유,숙박/휴양,기장군,장안읍,129.2459056,35.36885054,051-727-5854,http://naver.me/5EQ14wuo,Y,Y,N,N,N,N,N,
248,만석꾼캠핑장,문화관광/명소,기장군,장안읍,129.2711622,35.33110731,070-8944-8280,http://cafe.daum.net/camping-farm,Y,Y,N,N,N,N,N,
250,달빛펜션,숙박/휴양,기장군,장안읍,129.2632604,35.31859452,051-727-9322,http://naver.me/xC61pOVc,Y,Y,N,N,N,Y,N,
251,아름민박집,숙박/휴양,기장군,장안읍,129.2631794,35.3182258,,http://naver.me/G3J0Bbw7,N,Y,N,N,N,N,N,
253,임랑별장민박,숙박/휴양,기장군,장안읍,129.2625183,35.31711904,,http://blog.naver.com/misuk6521/221038665366,Y,Y,N,N,N,N,N,
257,임랑태양민박,숙박/휴양,기장군,장안읍,129.263172,35.3175556,,https://blog.naver.com/NBlogTop.naver?isHttpsRedirect=true&blogId=6800yoon,N,Y,N,N,N,N,N,
259,산장가든,숙박/휴양,기장군,장안읍,129.246617,35.36840787,051-727-5370,http://naver.me/5oQugNFc,Y,Y,N,N,N,N,N,
261,한옥펜션금수동,숙박/휴양,기장군,장안읍,129.2532313,35.34466882,051-727-5679,http://naver.me/Gtt9uKn0,Y,Y,N,N,N,N,N,
263,루나펜션,숙박/휴양,기장군,장안읍,129.250344,35.3635823,,http://www.pensionluna.co.kr/,Y,Y,N,N,N,N,N,
264,엔젤앤가든,숙박/휴양,기장군,장안읍,129.2708113,35.32503924,,http://www.angcompany.co.kr/,N,Y,N,N,N,N,N,
266,보리수펜션,숙박/휴양,기장군,장안읍,129.2710794,35.32512177,,http://borisunamu.com/,Y,Y,N,N,N,N,N,
269,얀카라반펜션,숙박/휴양,기장군,장안읍,129.2672237,35.32156866,051-727-1629,http://www.yanpension.com/,Y,Y,N,N,N,N,N,
270,기장문화예절학교,숙박/휴양,기장군,장안읍,129.2682629,35.32554346,051-792-4720,http://www.gijangcmc.or.kr/gcdyc/,Y,Y,N,Y,N,N,N,
274,큐브모텔,숙박/휴양,기장군,정관읍,129.179862,35.3212428,051-727-5559,http://naver.me/FxLyJMRR,Y,Y,N,N,N,N,N,
275,파크모텔,숙박/휴양,기장군,정관읍,129.1803163,35.32181376,070-7301-1606,http://naver.me/5Cz6zXoY,Y,Y,N,N,N,N,N,
276,기장군청소년수련관,숙박/휴양,기장군,정관읍,129.1997541,35.31111144,051-728-4501,http://www.gijangcmc.or.kr/youth/,Y,Y,N,Y,N,N,N,
277,병산골목장캠핑,문화관광/명소,기장군,정관읍,129.1877889,35.34530836,,https://place.map.kakao.com/27312009,N,N,N,N,N,N,N,
278,초원숲속글램핑,문화관광/명소,기장군,정관읍,129.1877351,35.34537339,051-727-3067,http://www.xn--bj0b46pc9h3sav8p5mkmso.com/,Y,Y,N,N,N,N,N,
283,호텔라움,숙박/휴양,기장군,정관읍,129.1809748,35.3160994,051-728-6038,http://naver.me/GEAIzEQ1,Y,Y,N,Y,N,Y,N,
289,부산유아놀이꿈터,숙박/휴양,기장군,철마면,129.1577857,35.27265561,051-723-7092,http://home.pen.go.kr/childlike/tp/tempPage/tempPageView.do?typeCd=imsiPage,Y,Y,N,N,N,N,N,
290,영남장여관,숙박/휴양,남구,감만동,129.0793084,35.11849224,051-636-7400,http://naver.me/GcjDapcJ,Y,Y,N,N,N,N,N,
292,브이모텔,숙박/휴양,남구,대연동,129.0862611,35.13528827,051-637-7775,http://naver.me/F6m2OZJt,Y,Y,N,N,N,N,N,
295,스테이 로드12,숙박/휴양,남구,대연동,129.0874999,35.13554001,051-632-1425,http://blog.naver.com/cleanstayroad12,Y,Y,N,N,N,Y,N,
296,빈센트게스트하우스,숙박/휴양,남구,대연동,129.0919259,35.12837791,,http://www.vinhouse.org/,N,Y,N,N,N,N,N,
305,코리아호텔,숙박/휴양,남구,대연동,129.0923112,35.13275907,051-628-7001,http://naver.me/FfMkaAlX,Y,Y,N,N,N,N,N,
306,이데아호텔,숙박/휴양,남구,대연동,129.0924305,35.13191378,051-611-6643,http://naver.me/xrP3378i,Y,Y,N,N,N,N,N,
309,유니콘모텔,숙박/휴양,남구,대연동,129.0916322,35.1346684,051-628-2374,http://naver.me/FpX9yPv7,Y,Y,N,N,N,N,N,
310,대연동 한스빌,숙박/휴양,남구,대연동,129.0911649,35.13465118,051-626-8400,http://naver.me/FCbrHCJG,Y,Y,N,N,N,N,N,
313,K모텔,숙박/휴양,남구,대연동,129.0913184,35.13464223,051-626-2300,http://naver.me/xWNK2IFZ,Y,Y,N,N,N,N,N,
325,보브호텔,숙박/휴양,남구,문현동,129.0669388,35.13756941,051-633-0131,http://naver.me/5s9fvyTK,Y,Y,N,N,N,N,N,
327,엔터모텔,숙박/휴양,남구,문현동,129.0671589,35.13748767,051-645-0068,http://naver.me/GWFsBh22,Y,Y,N,N,N,N,N,
332,부산해군회관,숙박/휴양,남구,용호동,129.1162479,35.10486567,051-679-5811,http://naver.me/GUvtdku4,Y,Y,N,N,N,Y,N,
336,베니스모텔,숙박/휴양,남구,용호동,129.1114093,35.11871312,051-622-7025,http://naver.me/xdIpyFtY,Y,Y,N,N,N,N,N,
337,가든장모텔,숙박/휴양,남구,용호동,129.1108046,35.11370616,051-624-5966,http://naver.me/G6DodABj,N,Y,N,N,N,N,N,
340,젠하우스,숙박/휴양,남구,용호동,129.1113346,35.11515197,051-612-9223,http://naver.me/5h3juVBs,Y,Y,N,Y,N,N,N,
341,게스트하우스,숙박/휴양,남구,용호동,129.1082483,35.12631011,070-623-2315,http://naver.me/xL18sQVg,N,Y,N,N,N,N,N,
343,힐티장,숙박/휴양,동구,범일동,129.0556499,35.14065981,051-634-9010,http://naver.me/GAiWCNTq,N,Y,N,N,N,N,N,
348,틴토호텔,숙박/휴양,동구,범일동,129.0607742,35.13830679,051-634-2088,https://tintohotel.southkrhotel.com/,Y,Y,N,Y,N,N,N,
350,프린스호텔,숙박/휴양,동구,범일동,129.0588743,35.13929949,051-632-6005,https://www.yanolja.com/motel/3008696?menu=pay&trackcode=rm,Y,Y,N,Y,N,N,N,
351,클라우디아,숙박/휴양,동구,범일동,129.0585299,35.13909484,051-633-0592,http://naver.me/xorJmunE,N,Y,N,N,N,N,N,
354,CC호텔,숙박/휴양,동구,범일동,129.0606487,35.13749011,051-645-6767,http://naver.me/GlVfY1Nq,Y,Y,N,N,N,N,N,
359,화신장여관,숙박/휴양,동구,범일동,129.0620319,35.13653407,051-631-9614,http://naver.me/5cTaVJX9,N,Y,N,N,N,N,N,
362,황규성,숙박/휴양,동구,범일동,129.0639812,35.13575779,,http://naver.me/x4bELyCX,Y,Y,N,N,N,N,N,
368,지앤지모텔,숙박/휴양,동구,범일동,129.0632679,35.13927687,051-633-8008,http://naver.me/FqSnibqu,Y,Y,N,N,N,Y,N,
370,범일동 W,숙박/휴양,동구,범일동,129.0617786,35.14006786,051-645-6717,http://naver.me/GnGCOXtA,Y,Y,N,N,N,N,N,
371,하운드호텔,숙박/휴양,동구,범일동,129.061939,35.14018498,051-921-0050,http://naver.me/Fmg23dDM,Y,Y,N,N,N,N,N,
373,라온호텔,숙박/휴양,동구,범일동,129.061896,35.14032664,051-647-1776,https://laonhotel.modoo.at/,Y,Y,N,Y,N,N,N,
375,나포리모텔,숙박/휴양,동구,범일동,129.0602848,35.13843013,051-643-3636,http://naver.me/G8UyHFsf,N,Y,N,N,N,N,N,
377,나포리,숙박/휴양,동구,범일동,129.0602808,35.13842423,051-643-3636,http://naver.me/5NdD5KMv,N,Y,N,N,N,N,N,
378,스토리하우스,숙박/휴양,동구,범일동,129.0604789,35.13844313,,http://naver.me/Gw5zOu6E,N,Y,N,N,N,N,N,
385,더디자인,숙박/휴양,동구,범일동,129.056945,35.14076661,051-631-1504,http://thedesignmotel.shinhanpos.com/,Y,Y,N,N,N,N,N,
392,힐모텔,숙박/휴양,동구,수정동,129.0459675,35.12793217,,http://naver.me/IxDoH2vN,Y,Y,N,N,N,N,N,
393,힐모텔,숙박/휴양,동구,수정동,129.0459622,35.12795883,051-464-3444,http://naver.me/FCbgEXIV,Y,Y,N,N,N,N,N,
400,프라임관광호텔,숙박/휴양,동구,수정동,129.0502138,35.13058708,051-465-4011,http://www.primehotel.co.kr/,Y,Y,N,N,N,N,N,
402,브라운도트 호텔 부산진역점,숙박/휴양,동구,수정동,129.048421,35.12952113,051-469-8642,http://www.wnhotels.com,Y,Y,N,N,N,N,N,
410,베스트인시티호텔,숙박/휴양,동구,초량동,129.0414928,35.12030724,051-464-8883,https://bestincityhotel.southkrhotel.com/,Y,Y,N,Y,N,N,N,
414,INN부산,숙박/휴양,동구,초량동,129.0376759,35.1141472,,http://naver.me/xcK2LNUi,N,Y,N,N,N,N,N,
415,씨엔씨여관,숙박/휴양,동구,초량동,129.0370628,35.11309666,,http://naver.me/xWNvdvsT,N,Y,N,N,N,N,N,
416,멕시멈호텔,숙박/휴양,동구,초량동,129.0393263,35.11592723,051-442-4580,https://busanstationmaximumhotel.southkrhotel.com/kr/,Y,Y,N,N,N,N,N,
417,마리나레지던스호텔,숙박/휴양,동구,초량동,129.0388643,35.11553521,,http://naver.me/GGhpBlo1,Y,Y,N,N,N,N,N,
420,물레,숙박/휴양,동구,초량동,129.0375148,35.11267844,,http://naver.me/FslbUac9,N,N,N,N,N,N,N,
423,장춘모텔,숙박/휴양,동구,초량동,129.0380368,35.11340772,,http://naver.me/5qRIbOZl,Y,Y,N,N,N,N,N,
425,크리스탈낮잠,숙박/휴양,동구,초량동,129.0398186,35.11634374,051-8278-6252,http://www.crystalguesthouse.co.kr/,N,Y,N,N,N,N,N,
428,더월드,숙박/휴양,동구,초량동,129.0377192,35.1125883,,http://naver.me/xWNvg9Cg,N,Y,N,N,N,N,N,
430,이바구캠프,숙박/휴양,동구,초량동,129.0283125,35.11918333,051-467-0289,http://blog.naver.com/ibagucamp,N,Y,N,N,N,N,N,
431,이바구캠프,숙박/휴양,동구,초량동,129.0285237,35.11915903,051-467-0289,http://blog.naver.com/ibagucamp,N,Y,N,N,N,N,N,
433,이바구충전소,숙박/휴양,동구,초량동,129.0346707,35.11736277,070-8233-2033,http://naver.me/5oQ6rpzQ,N,Y,N,N,N,N,N,
434,오름,숙박/휴양,동구,초량동,129.0351089,35.11690236,,http://naver.me/FuVoSssm,N,N,N,N,N,N,N,
436,동원여관,숙박/휴양,동구,초량동,129.0365685,35.11292116,051-467-1845,http://naver.me/5uxRO4Wz,N,Y,N,N,N,N,N,
437,게스트하우스코리아 부산역점,숙박/휴양,동구,초량동,129.0414816,35.11751607,051-464-5800,https://blog.naver.com/ghkoreabs1,Y,Y,N,N,N,N,N,
440,웰컴부산,숙박/휴양,동구,초량동,129.0414953,35.11934293,051-442-2244,http://www.welcomebusan.com/,N,Y,N,N,N,N,N,
442,마리나레지던스,숙박/휴양,동구,초량동,129.0369946,35.11371712,,http://naver.me/GdJnTmbd,Y,Y,N,N,N,N,N,
445,부산역비즈니스호텔,숙박/휴양,동구,초량동,129.0399828,35.11239691,051-463-5581,http://bsbhotel.com,Y,Y,N,N,N,N,N,
446,팝콘호텔,숙박/휴양,동구,초량동,129.0395025,35.11269459,,https://popcornhotel.modoo.at/,Y,Y,N,N,N,N,N,
454,미래장,숙박/휴양,동구,초량동,129.038941,35.11507712,,http://naver.me/5kLUsoAU,N,Y,N,N,N,N,N,
455,미래장,숙박/휴양,동구,초량동,129.0389429,35.11508233,051-467-0541,http://naver.me/5kLUsoAU,N,Y,N,N,N,N,N,
456,온팍스레지던스,숙박/휴양,동구,초량동,129.0405547,35.11319226,051-465-1213,https://extended-stay-hotel-68.business.site/,Y,Y,N,N,N,N,N,
